branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 1987, 19, 0, 0, 0, 14, 31236, 8206, 44693
50, 2, 1992, 43, 0, 0, 0, 48, 39064, 10298, 22079
50, 2, 1709, 5, 0, 0, 0, 4, 39633, 6387, 21731
50, 2, 2041, 22, 0, 0, 0, 17, 41168, 10531, 47438
50, 2, 2295, 15, 0, 0, 0, 7, 36878, 10127, 29422
50, 2, 1911, 47, 0, 0, 0, 54, 34838, 10648, 27300
50, 1, 99, 38, 0, 0, 0, 37, 11277, 756, 2630
50, 1, 99, 1, 0, 0, 0, 0, 10505, 713, 1584
50, 1, 98, 11, 0, 0, 0, 14, 8703, 547, 2506
50, 1, 98, 6, 0, 0, 0, 7, 12784, 613, 3377
50, 1, 99, 29, 0, 0, 0, 36, 19622, 1581, 3364
50, 2, 1849, 50, 0, 0, 0, 58, 26639, 10759, 36065
50, 1, 96, 47, 0, 0, 0, 40, 15879, 1516, 2162
50, 2, 1677, 6, 0, 0, 0, 6, 32837, 5356, 12216
50, 1, 99, 19, 0, 0, 0, 11, 14203, 1079, 1694
50, 1, 96, 3, 0, 0, 0, 2, 10262, 376, 1668
50, 2, 1853, 8, 0, 0, 0, 15, 44738, 8036, 25222
50, 2, 2441, 34, 0, 0, 0, 15, 40712, 11981, 33063
50, 1, 100, 14, 0, 0, 0, 12, 21800, 1018, 1396
50, 1, 100, 26, 0, 0, 0, 31, 13678, 768, 2710
50, 2, 1785, 2, 0, 0, 0, 2, 32273, 8083, 19691
50, 2, 1655, 31, 0, 0, 0, 47, 29659, 8491, 24447
50, 2, 1346, 37, 0, 0, 0, 27, 34689, 7832, 19561
50, 1, 99, 5, 0, 0, 0, 6, 21146, 776, 2539
50, 2, 2415, 8, 0, 0, 0, 12, 68537, 10601, 28046
50, 1, 99, 14, 0, 0, 0, 10, 9553, 648, 2254
50, 1, 98, 10, 0, 0, 0, 14, 10843, 588, 2207
50, 1, 99, 45, 0, 0, 0, 48, 15337, 722, 2616
50, 1, 95, 12, 0, 0, 0, 15, 8864, 632, 2944
50, 1, 98, 30, 0, 0, 0, 25, 11694, 494, 2082
50, 2, 1787, 35, 0, 0, 0, 45, 38395, 9701, 23050
50, 1, 98, 40, 0, 0, 0, 44, 12041, 676, 3769
50, 1, 100, 19, 0, 0, 0, 29, 11990, 912, 1593
50, 2, 1559, 17, 0, 0, 0, 13, 53166, 8791, 30727
50, 1, 95, 36, 0, 0, 0, 42, 15734, 1726, 2857
50, 1, 96, 44, 0, 0, 0, 53, 15250, 2540, 3209
50, 2, 1494, 39, 0, 0, 0, 31, 22369, 8829, 22241
50, 2, 2298, 21, 0, 0, 0, 15, 37448, 11666, 52131
50, 1, 100, 5, 0, 0, 0, 3, 16140, 829, 2360
50, 1, 96, 38, 0, 0, 0, 21, 12914, 1132, 1961
50, 2, 1811, 50, 0, 0, 0, 61, 36440, 17753, 19989
50, 2, 2215, 8, 0, 0, 0, 9, 28009, 11103, 36836
50, 1, 96, 5, 0, 0, 0, 7, 12634, 1483, 2355
50, 1, 99, 44, 0, 0, 0, 56, 11173, 1022, 1948
50, 1, 99, 42, 0, 0, 0, 24, 17054, 1701, 1618
50, 1, 99, 28, 0, 0, 0, 22, 12867, 618, 1411
50, 1, 96, 17, 0, 0, 0, 15, 13395, 948, 1940
50, 1, 98, 4, 0, 0, 0, 6, 10161, 803, 2842
50, 1, 100, 26, 0, 0, 0, 39, 22564, 948, 2412
50, 1, 98, 41, 0, 0, 0, 28, 12641, 2115, 2610
