branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 1, 99, 25, 0, 0, 22, 0, 19217, 1768, 2963
50, 1, 98, 9, 0, 0, 7, 0, 17554, 947, 2453
50, 1, 98, 29, 0, 0, 39, 0, 8956, 621, 2497
50, 2, 2630, 46, 0, 0, 66, 0, 33696, 18138, 29720
50, 1, 99, 30, 0, 0, 33, 0, 10902, 579, 1932
50, 2, 1893, 18, 0, 0, 20, 0, 24805, 10475, 26112
50, 1, 100, 17, 0, 0, 13, 0, 11924, 591, 1787
50, 2, 1488, 14, 0, 0, 9, 0, 24710, 7531, 19574
50, 1, 97, 41, 0, 0, 42, 0, 15133, 791, 3848
50, 1, 98, 42, 0, 0, 47, 0, 7772, 603, 1692
50, 1, 96, 20, 0, 0, 29, 0, 17279, 1909, 2433
50, 1, 97, 14, 0, 0, 17, 0, 15198, 1677, 1540
50, 1, 97, 50, 0, 0, 35, 0, 11708, 1072, 2351
50, 2, 2336, 23, 0, 0, 41, 0, 32469, 11001, 26424
50, 1, 94, 15, 0, 0, 23, 0, 12391, 1804, 2749
50, 1, 97, 21, 0, 0, 31, 0, 13878, 1779, 2887
50, 2, 2083, 22, 0, 0, 19, 0, 47611, 9769, 40377
50, 1, 95, 22, 0, 0, 17, 0, 28600, 1786, 3211
50, 2, 1927, 46, 0, 0, 61, 0, 50294, 12055, 31271
50, 1, 99, 26, 0, 0, 15, 0, 10661, 641, 2979
50, 2, 2403, 46, 0, 0, 48, 0, 38748, 10000, 29728
50, 1, 98, 43, 0, 0, 54, 0, 12879, 1671, 2963
50, 2, 1674, 11, 0, 0, 9, 0, 44380, 6839, 35372
50, 1, 96, 31, 0, 0, 23, 0, 23366, 841, 3163
50, 2, 1181, 14, 0, 0, 14, 0, 42711, 6059, 22797
50, 1, 98, 28, 0, 0, 33, 0, 13768, 1778, 1588
50, 1, 99, 47, 0, 0, 46, 0, 14757, 872, 3851
50, 2, 2374, 36, 0, 0, 33, 0, 75642, 11721, 35588
50, 2, 1679, 19, 0, 0, 16, 0, 39177, 5823, 42449
50, 2, 2319, 12, 0, 0, 21, 0, 48718, 8801, 28702
50, 2, 1344, 48, 0, 0, 46, 0, 41410, 6744, 33844
50, 2, 1836, 5, 0, 0, 2, 0, 28591, 6106, 41383
50, 1, 98, 41, 0, 0, 25, 0, 10381, 630, 1938
50, 1, 99, 14, 0, 0, 14, 0, 9973, 635, 1888
