branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 1120, 12, 13, 15, 15, 20, 29269, 4933, 23140
50, 2, 1927, 40, 47, 56, 45, 46, 28627, 12685, 48765
50, 2, 1309, 50, 74, 63, 58, 49, 36091, 8595, 17367
50, 1, 97, 23, 13, 19, 26, 16, 13741, 1915, 3237
50, 1, 97, 4, 3, 9, 5, 3, 17117, 547, 3381
50, 2, 1952, 41, 47, 44, 39, 32, 43512, 9914, 22617
50, 2, 1641, 33, 22, 17, 27, 23, 52508, 8612, 31512
50, 1, 98, 46, 53, 56, 33, 42, 12312, 754, 2040
50, 2, 1540, 20, 20, 25, 16, 22, 66459, 8631, 24041
50, 2, 2273, 19, 22, 20, 20, 14, 51675, 10275, 31687
50, 1, 98, 43, 41, 48, 51, 28, 9548, 654, 2382
50, 1, 99, 27, 16, 22, 21, 26, 13714, 726, 1707
50, 2, 1491, 4, 4, 7, 7, 3, 36299, 6435, 24088
