branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 2366, 38, 164, 19, 179, 36, 30, 37, 42, 41626, 11036, 28387
50, 2, 1734, 14, 52, 8, 66, 11, 13, 15, 7, 39013, 9961, 22588
50, 2, 1659, 11, 55, 5, 74, 14, 13, 12, 10, 37144, 6399, 21646
50, 2, 2418, 43, 184, 20, 187, 44, 36, 38, 43, 50241, 11185, 35933
50, 2, 1886, 29, 126, 4, 141, 26, 22, 27, 26, 27942, 5697, 17820
50, 2, 2067, 4, 19, 1, 31, 3, 2, 7, 4, 56850, 9019, 29520
50, 2, 1974, 48, 185, 26, 191, 38, 40, 37, 48, 61702, 9940, 23371
50, 2, 1894, 32, 164, 13, 165, 37, 35, 42, 31, 33408, 9904, 34087
50, 2, 2011, 33, 141, 15, 142, 31, 29, 27, 36, 25980, 8698, 43605
50, 2, 2483, 49, 204, 17, 195, 50, 40, 45, 37, 41865, 10346, 28694
50, 2, 1800, 30, 152, 17, 163, 31, 46, 36, 26, 33562, 7114, 25790
50, 2, 1781, 8, 36, 3, 46, 4, 13, 8, 6, 25133, 5857, 25395
50, 2, 1460, 35, 137, 9, 172, 29, 28, 23, 31, 44257, 7377, 23023
50, 2, 2197, 38, 179, 23, 211, 47, 36, 46, 35, 47700, 11037, 32960
50, 2, 1527, 13, 36, 12, 46, 11, 4, 8, 12, 37026, 7137, 29869
50, 2, 1382, 37, 163, 17, 179, 37, 36, 36, 34, 28268, 7674, 21315
50, 2, 1468, 16, 63, 4, 94, 15, 13, 11, 12, 42258, 5868, 33069
50, 2, 1711, 26, 98, 15, 111, 25, 20, 20, 22, 44254, 8901, 29428
50, 2, 2177, 17, 65, 11, 83, 18, 12, 12, 17, 41483, 9567, 40632
50, 2, 1596, 41, 181, 16, 195, 38, 45, 39, 34, 29179, 6872, 26751
50, 2, 2147, 33, 139, 22, 138, 37, 27, 32, 32, 36311, 13210, 26235
50, 2, 1497, 20, 104, 11, 117, 31, 19, 19, 26, 30565, 8623, 27211
50, 2, 1878, 33, 157, 11, 179, 28, 41, 32, 34, 21646, 7779, 22923
50, 2, 1843, 16, 95, 10, 85, 20, 25, 19, 25, 36216, 11680, 42382
50, 2, 1885, 41, 135, 13, 130, 29, 20, 30, 28, 32692, 9005, 39675
50, 2, 2113, 50, 250, 18, 246, 68, 49, 46, 55, 21273, 12082, 35297
50, 2, 2551, 15, 53, 6, 66, 9, 10, 11, 14, 57435, 12462, 25078
50, 2, 1737, 1, 1, 0, 1, 0, 0, 0, 0, 28943, 6410, 29925
50, 2, 2026, 5, 19, 2, 29, 4, 2, 5, 5, 31093, 5496, 36262
