branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 2511, 15, 56, 7, 530, 12, 12, 13, 11, 56964, 12070, 30912
50, 2, 1651, 48, 190, 27, 2295, 36, 48, 46, 39, 33841, 15621, 39666
50, 2, 1571, 2, 2, 0, 7, 0, 0, 0, 0, 21729, 5621, 36337
50, 2, 1808, 40, 232, 21, 2169, 55, 55, 52, 51, 36188, 17401, 33836
50, 2, 1471, 12, 56, 4, 452, 13, 14, 10, 11, 40846, 7591, 20228
50, 2, 1994, 50, 192, 20, 2364, 38, 40, 45, 39, 43497, 9662, 23424
50, 2, 1667, 34, 161, 16, 1582, 36, 41, 28, 38, 52479, 14181, 26655
50, 2, 1623, 20, 73, 16, 757, 17, 11, 22, 19, 26955, 8117, 18666
50, 2, 1770, 11, 39, 6, 287, 13, 10, 4, 7, 28012, 6231, 36749
50, 2, 1368, 3, 10, 5, 127, 1, 4, 3, 4, 34853, 4769, 16273
50, 2, 1897, 50, 221, 29, 2444, 50, 57, 40, 53, 38380, 13937, 28212
50, 2, 2120, 49, 215, 22, 2375, 47, 44, 53, 44, 31104, 13112, 27930
50, 2, 1779, 7, 24, 5, 389, 7, 4, 7, 4, 46737, 7187, 25195
50, 2, 1850, 12, 48, 3, 466, 10, 10, 7, 12, 44507, 7602, 25738
50, 2, 1620, 33, 104, 16, 1248, 19, 18, 21, 29, 25414, 13339, 37933
50, 2, 1985, 26, 67, 9, 624, 11, 12, 17, 10, 43643, 7189, 31622
50, 2, 1428, 43, 216, 18, 2355, 51, 45, 56, 39, 46872, 9899, 20922
50, 2, 1865, 40, 183, 17, 1993, 32, 40, 44, 44, 27675, 9715, 38608
50, 2, 2137, 23, 96, 13, 1268, 26, 22, 22, 16, 40439, 15078, 29650
50, 2, 2293, 30, 90, 9, 766, 16, 21, 16, 16, 37829, 15441, 22147
50, 2, 1719, 40, 166, 19, 1832, 36, 30, 41, 38, 62587, 13482, 23756
50, 2, 1716, 39, 160, 20, 1779, 41, 29, 44, 27, 39183, 10659, 40301
50, 2, 1953, 13, 59, 5, 632, 14, 20, 8, 9, 29486, 8595, 36240
50, 2, 2257, 3, 14, 2, 123, 2, 6, 3, 2, 29816, 8671, 41566
50, 2, 2055, 4, 16, 1, 138, 2, 5, 2, 4, 47865, 6869, 32994
50, 2, 2369, 27, 93, 8, 904, 19, 21, 17, 17, 43267, 13969, 32851
50, 2, 1899, 47, 279, 37, 3072, 71, 57, 73, 68, 60675, 13839, 27383
50, 2, 1709, 33, 149, 11, 1787, 33, 34, 29, 31, 35712, 11081, 21535
50, 2, 2294, 50, 244, 27, 3190, 57, 47, 58, 59, 31467, 15282, 22808
50, 2, 2158, 37, 162, 19, 1609, 49, 31, 31, 33, 27689, 10182, 33813
50, 2, 1561, 1, 2, 0, 7, 0, 0, 1, 0, 46972, 5932, 20102
50, 2, 1887, 29, 112, 12, 1114, 25, 23, 25, 22, 63359, 17215, 29750
50, 2, 1852, 18, 90, 12, 953, 25, 21, 20, 18, 47074, 12475, 36990
50, 2, 2086, 10, 72, 12, 873, 16, 20, 20, 18, 27306, 8820, 26027
50, 2, 2521, 37, 166, 25, 1733, 36, 36, 51, 31, 51724, 15440, 29633
50, 2, 1356, 36, 212, 16, 2552, 46, 61, 49, 36, 25887, 10723, 20811
50, 2, 1332, 46, 227, 24, 2380, 47, 51, 53, 54, 27979, 11608, 30530
50, 2, 1805, 16, 61, 5, 771, 9, 13, 15, 13, 44308, 11988, 29707
50, 2, 1856, 32, 154, 17, 1742, 34, 31, 37, 37, 32782, 12602, 24339
50, 2, 1524, 1, 3, 0, 33, 1, 0, 1, 0, 30525, 5226, 21327
50, 2, 1849, 11, 59, 1, 522, 13, 18, 11, 7, 45268, 9168, 30820
50, 2, 1838, 2, 6, 1, 78, 0, 4, 0, 1, 31317, 5199, 25523
50, 2, 1250, 45, 195, 29, 2319, 48, 44, 40, 47, 29346, 7762, 31885
50, 2, 2227, 42, 190, 20, 1937, 36, 43, 50, 39, 45089, 13632, 26251
50, 2, 1515, 42, 166, 16, 1879, 39, 31, 33, 37, 20783, 8313, 20971
50, 2, 1507, 13, 31, 4, 303, 4, 6, 7, 5, 38619, 6657, 33686
50, 2, 1771, 12, 46, 3, 467, 14, 7, 8, 8, 51538, 7953, 24142
50, 2, 2020, 6, 28, 4, 338, 7, 8, 8, 3, 34478, 11134, 28896
50, 2, 1978, 10, 54, 3, 627, 13, 10, 12, 12, 34083, 10068, 32474
50, 2, 2065, 20, 81, 8, 676, 13, 17, 18, 21, 34001, 11055, 32992
50, 2, 1954, 12, 36, 4, 374, 7, 7, 7, 7, 34069, 6484, 42564
50, 2, 2460, 43, 165, 25, 1776, 35, 42, 38, 32, 34608, 13068, 29697
50, 2, 2003, 40, 171, 19, 2170, 41, 39, 37, 33, 42526, 15388, 37401
50, 2, 2193, 30, 144, 7, 1628, 28, 28, 33, 32, 49965, 11023, 32022
50, 2, 1625, 3, 2, 1, 22, 0, 0, 0, 0, 22276, 6351, 17699
50, 2, 1741, 18, 75, 14, 920, 17, 20, 17, 17, 57177, 12539, 31066
50, 2, 1748, 21, 82, 6, 823, 15, 14, 23, 15, 28610, 7312, 23194
50, 2, 1512, 7, 14, 4, 225, 3, 1, 2, 5, 58836, 6787, 25440
50, 2, 1143, 25, 119, 10, 1240, 20, 28, 33, 23, 22949, 5780, 16207
50, 2, 1427, 3, 16, 5, 227, 4, 5, 3, 6, 40740, 6815, 22873
50, 2, 1962, 1, 6, 0, 32, 2, 0, 1, 2, 28733, 5433, 36972
50, 2, 2289, 8, 33, 5, 318, 9, 9, 6, 6, 36594, 8769, 38486
50, 2, 2293, 36, 148, 18, 1463, 39, 31, 31, 29, 29900, 10422, 28633
50, 2, 1551, 9, 53, 6, 423, 11, 14, 14, 11, 26262, 6221, 34788
