branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.tag, selectorsUsed.universal, selectorsUsed.id, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 1535, 3, 0, 12, 0, 0, 0, 4, 5, 33638, 7978, 18698
50, 2, 1736, 24, 0, 119, 0, 0, 0, 53, 42, 33505, 14376, 34937
50, 2, 2180, 3, 0, 19, 0, 0, 0, 8, 8, 32540, 12826, 31825
50, 2, 1137, 10, 0, 44, 0, 0, 0, 16, 18, 40796, 6886, 26782
50, 2, 1853, 10, 0, 70, 0, 0, 0, 31, 29, 49763, 11340, 26630
50, 2, 1229, 32, 0, 225, 0, 0, 0, 90, 103, 27644, 15169, 34507
50, 2, 1701, 17, 0, 89, 0, 0, 0, 37, 35, 30829, 12967, 39432
50, 2, 2185, 27, 0, 139, 0, 0, 0, 58, 54, 32121, 15676, 40566
50, 2, 1481, 2, 0, 12, 0, 0, 0, 5, 5, 33844, 5771, 25556
50, 2, 2355, 25, 0, 137, 0, 0, 0, 65, 47, 42965, 17368, 29313
50, 2, 1707, 49, 0, 282, 0, 0, 0, 124, 109, 32567, 16085, 23202
50, 2, 2185, 14, 0, 45, 0, 0, 0, 16, 15, 32008, 12321, 33604
50, 2, 2050, 17, 0, 65, 0, 0, 0, 24, 24, 54678, 12258, 31820
50, 2, 1727, 50, 0, 252, 0, 0, 0, 101, 101, 47317, 19849, 35569
50, 2, 2254, 39, 0, 192, 0, 0, 0, 87, 66, 31744, 18723, 22015
50, 2, 2214, 34, 0, 175, 0, 0, 0, 69, 72, 39039, 18872, 40917
50, 2, 1803, 35, 0, 153, 0, 0, 0, 54, 64, 32115, 13633, 29065
50, 2, 2265, 30, 0, 168, 0, 0, 0, 61, 77, 37830, 18620, 52364
50, 2, 1804, 22, 0, 112, 0, 0, 0, 41, 49, 33987, 11911, 26604
50, 2, 2371, 8, 0, 55, 0, 0, 0, 21, 26, 55937, 13513, 44892
50, 2, 1329, 3, 0, 21, 0, 0, 0, 12, 6, 29530, 8089, 21902
50, 2, 2059, 15, 0, 53, 0, 0, 0, 17, 21, 31932, 13131, 28844
50, 2, 1770, 29, 0, 151, 0, 0, 0, 55, 67, 43598, 14297, 24998
50, 2, 2308, 21, 0, 110, 0, 0, 0, 44, 45, 49938, 26849, 32331
50, 2, 2078, 35, 0, 129, 0, 0, 0, 49, 45, 42238, 21913, 30468
50, 2, 1146, 8, 0, 30, 0, 0, 0, 11, 11, 22805, 4399, 15924
50, 2, 1706, 22, 0, 134, 0, 0, 0, 54, 58, 47577, 13541, 37589
50, 2, 1785, 35, 0, 166, 0, 0, 0, 55, 76, 62918, 15935, 24203
50, 2, 1648, 28, 0, 174, 0, 0, 0, 73, 73, 35479, 13712, 26565
50, 2, 1825, 9, 0, 43, 0, 0, 0, 13, 21, 43716, 10863, 34530
50, 2, 1815, 43, 0, 222, 0, 0, 0, 94, 85, 47046, 17353, 38899
50, 2, 2033, 41, 0, 243, 0, 0, 0, 107, 95, 37242, 19711, 25198
50, 2, 2052, 31, 0, 156, 0, 0, 0, 59, 66, 36231, 18282, 27472
50, 2, 1688, 21, 0, 100, 0, 0, 0, 46, 33, 32018, 10226, 45219
50, 2, 1811, 13, 0, 62, 0, 0, 0, 29, 20, 31329, 10255, 36313
50, 2, 1547, 31, 0, 128, 0, 0, 0, 49, 48, 29592, 14604, 28339
50, 2, 1677, 17, 0, 77, 0, 0, 0, 36, 24, 47199, 10435, 30282
50, 2, 1151, 43, 0, 164, 0, 0, 0, 69, 52, 30982, 9973, 23804
50, 2, 1471, 15, 0, 93, 0, 0, 0, 34, 44, 30113, 11853, 36198
50, 2, 2102, 7, 0, 22, 0, 0, 0, 6, 9, 33209, 10476, 30089
50, 2, 1356, 36, 0, 202, 0, 0, 0, 84, 82, 39291, 15853, 16518
50, 2, 1690, 14, 0, 65, 0, 0, 0, 24, 27, 32335, 9623, 27973
50, 2, 1432, 38, 0, 214, 0, 0, 0, 90, 86, 24044, 13052, 22080
50, 2, 2004, 26, 0, 124, 0, 0, 0, 53, 45, 38035, 17246, 33084
50, 2, 1805, 12, 0, 50, 0, 0, 0, 16, 22, 48499, 9573, 23790
50, 2, 1565, 47, 0, 250, 0, 0, 0, 109, 94, 63988, 18937, 21562
50, 2, 2097, 11, 0, 43, 0, 0, 0, 13, 19, 28654, 10646, 31979
50, 2, 2449, 11, 0, 54, 0, 0, 0, 22, 21, 49447, 17648, 46725
50, 2, 1595, 27, 0, 130, 0, 0, 0, 54, 49, 37986, 10730, 35663
50, 2, 1474, 24, 0, 137, 0, 0, 0, 56, 57, 34625, 10687, 24776
50, 2, 1055, 47, 0, 234, 0, 0, 0, 93, 94, 24079, 10648, 13115
50, 2, 1681, 4, 0, 11, 0, 0, 0, 3, 4, 34090, 7086, 34353
50, 2, 2468, 43, 0, 186, 0, 0, 0, 62, 81, 32413, 24404, 32372
50, 2, 1699, 45, 0, 243, 0, 0, 0, 90, 108, 30156, 22935, 35872
50, 2, 2050, 19, 0, 81, 0, 0, 0, 31, 31, 69079, 17560, 24693
50, 2, 1041, 26, 0, 124, 0, 0, 0, 54, 44, 35272, 8069, 17906
50, 2, 1207, 14, 0, 94, 0, 0, 0, 45, 35, 49944, 13389, 28455
50, 2, 1229, 20, 0, 75, 0, 0, 0, 26, 29, 33134, 7544, 14105
50, 2, 890, 39, 0, 226, 0, 0, 0, 93, 94, 21538, 8579, 24443
50, 2, 2001, 37, 0, 163, 0, 0, 0, 65, 61, 41474, 13184, 37710
50, 2, 1808, 36, 0, 157, 0, 0, 0, 59, 62, 34956, 15162, 21646
50, 2, 2139, 35, 0, 148, 0, 0, 0, 49, 64, 50056, 15384, 34936
50, 2, 2661, 2, 0, 14, 0, 0, 0, 10, 2, 64278, 11892, 30370
50, 2, 1995, 24, 0, 148, 0, 0, 0, 49, 75, 28696, 13664, 40552
50, 2, 1670, 7, 0, 19, 0, 0, 0, 6, 6, 56344, 7794, 25355
50, 2, 1634, 14, 0, 73, 0, 0, 0, 29, 30, 27467, 11887, 29590
50, 2, 1614, 39, 0, 184, 0, 0, 0, 74, 71, 41232, 15612, 30917
50, 2, 1907, 23, 0, 117, 0, 0, 0, 42, 52, 49906, 12617, 24290
50, 2, 1926, 17, 0, 116, 0, 0, 0, 60, 39, 39334, 14032, 33611
50, 2, 1413, 23, 0, 116, 0, 0, 0, 34, 59, 24952, 12404, 36130
50, 2, 1123, 7, 0, 33, 0, 0, 0, 16, 10, 34019, 5537, 21176
50, 2, 1571, 25, 0, 131, 0, 0, 0, 52, 54, 34986, 11406, 21925
50, 2, 2140, 33, 0, 164, 0, 0, 0, 65, 66, 34008, 19339, 32826
50, 2, 1888, 45, 0, 260, 0, 0, 0, 103, 112, 45701, 18103, 21841
50, 2, 1868, 37, 0, 243, 0, 0, 0, 102, 104, 26361, 16349, 28510
50, 2, 1832, 34, 0, 204, 0, 0, 0, 93, 77, 41356, 16685, 28832
50, 2, 1908, 11, 0, 57, 0, 0, 0, 27, 19, 28192, 9258, 39212
50, 2, 2153, 8, 0, 52, 0, 0, 0, 22, 22, 39220, 12523, 44260
50, 2, 1931, 13, 0, 59, 0, 0, 0, 20, 26, 37598, 11840, 32031
50, 2, 2047, 34, 0, 170, 0, 0, 0, 79, 57, 22711, 20969, 41811
50, 2, 1802, 37, 0, 160, 0, 0, 0, 63, 60, 39253, 15559, 25136
50, 2, 1999, 46, 0, 221, 0, 0, 0, 89, 86, 34336, 20825, 20803
50, 2, 1895, 10, 0, 35, 0, 0, 0, 13, 12, 30770, 12958, 23055
50, 2, 1914, 30, 0, 166, 0, 0, 0, 68, 68, 49186, 14919, 30414
50, 2, 1757, 14, 0, 89, 0, 0, 0, 35, 40, 26317, 11762, 24227
50, 2, 2407, 13, 0, 60, 0, 0, 0, 21, 26, 28530, 14621, 45094
50, 2, 1225, 7, 0, 28, 0, 0, 0, 9, 12, 32578, 7249, 20834
50, 2, 1240, 36, 0, 171, 0, 0, 0, 73, 62, 65812, 12862, 26926
50, 2, 1983, 21, 0, 98, 0, 0, 0, 36, 41, 40094, 13099, 36417
50, 2, 2139, 44, 0, 205, 0, 0, 0, 70, 91, 38401, 21974, 39750
50, 2, 1422, 32, 0, 153, 0, 0, 0, 68, 53, 26935, 13311, 26331
50, 2, 2118, 6, 0, 32, 0, 0, 0, 13, 13, 53554, 10408, 43478
50, 2, 1816, 34, 0, 209, 0, 0, 0, 81, 94, 44186, 18115, 37296
50, 2, 1997, 15, 0, 101, 0, 0, 0, 29, 57, 36585, 14041, 44210
50, 2, 1808, 2, 0, 17, 0, 0, 0, 9, 6, 33893, 7870, 21584
50, 2, 1997, 15, 0, 54, 0, 0, 0, 16, 23, 51194, 12418, 31501
50, 2, 1799, 37, 0, 210, 0, 0, 0, 90, 83, 39376, 28029, 31548
50, 2, 2136, 10, 0, 75, 0, 0, 0, 29, 36, 42404, 16255, 35581
50, 2, 2089, 44, 0, 221, 0, 0, 0, 80, 97, 42334, 22730, 34560
50, 2, 1364, 35, 0, 233, 0, 0, 0, 103, 95, 32490, 14999, 33218
50, 2, 1563, 3, 0, 28, 0, 0, 0, 13, 12, 44368, 7990, 19675
50, 2, 1997, 10, 0, 76, 0, 0, 0, 37, 29, 28014, 11139, 27163
50, 2, 1899, 32, 0, 186, 0, 0, 0, 86, 68, 25819, 17605, 22092
50, 2, 2218, 23, 0, 96, 0, 0, 0, 32, 41, 32315, 15889, 35770
50, 2, 1721, 28, 0, 120, 0, 0, 0, 53, 39, 40039, 13055, 32913
50, 2, 1292, 42, 0, 251, 0, 0, 0, 101, 108, 28566, 14360, 33004
50, 2, 2385, 48, 0, 262, 0, 0, 0, 106, 108, 62989, 30602, 44257
50, 2, 2464, 41, 0, 216, 0, 0, 0, 89, 86, 26412, 22856, 32635
50, 2, 2093, 10, 0, 55, 0, 0, 0, 24, 21, 51270, 16218, 48714
50, 2, 2274, 10, 0, 70, 0, 0, 0, 33, 27, 46718, 13716, 45192
50, 2, 1644, 42, 0, 188, 0, 0, 0, 74, 72, 36596, 15518, 22166
50, 2, 1951, 1, 0, 4, 0, 0, 0, 2, 1, 44292, 7880, 27829
50, 2, 1727, 50, 0, 270, 0, 0, 0, 124, 96, 26215, 18017, 38247
50, 2, 1729, 31, 0, 127, 0, 0, 0, 50, 46, 32403, 19949, 34817
50, 2, 1793, 9, 0, 52, 0, 0, 0, 22, 21, 43223, 10147, 33098
50, 2, 1390, 50, 0, 177, 0, 0, 0, 61, 66, 29089, 13955, 23090
50, 2, 1643, 16, 0, 82, 0, 0, 0, 29, 37, 54034, 9523, 23942
50, 2, 1851, 12, 0, 35, 0, 0, 0, 9, 14, 46027, 9080, 37878
50, 2, 2190, 6, 0, 13, 0, 0, 0, 6, 1, 54695, 12638, 29073
50, 2, 2198, 24, 0, 94, 0, 0, 0, 39, 31, 37242, 17223, 44712
50, 2, 1915, 45, 0, 235, 0, 0, 0, 95, 95, 30842, 27810, 28497
50, 2, 1930, 32, 0, 141, 0, 0, 0, 62, 47, 33355, 15878, 33186
50, 2, 1796, 45, 0, 197, 0, 0, 0, 77, 75, 44823, 17989, 41279
50, 2, 1975, 46, 0, 197, 0, 0, 0, 77, 74, 47313, 19153, 29684
50, 2, 1484, 46, 0, 219, 0, 0, 0, 81, 92, 26191, 15796, 29096
50, 2, 1984, 29, 0, 129, 0, 0, 0, 59, 41, 51359, 16664, 34962
50, 2, 1697, 46, 0, 247, 0, 0, 0, 97, 104, 42339, 18707, 41473
50, 2, 2010, 29, 0, 141, 0, 0, 0, 56, 56, 31214, 13744, 25165
50, 2, 1856, 28, 0, 144, 0, 0, 0, 53, 63, 50122, 17337, 26973
50, 2, 1370, 16, 0, 80, 0, 0, 0, 39, 25, 25135, 9317, 20319
50, 2, 1915, 10, 0, 57, 0, 0, 0, 27, 20, 34488, 10063, 23048
50, 2, 1830, 19, 0, 81, 0, 0, 0, 33, 29, 35022, 12462, 26500
50, 2, 1971, 47, 0, 246, 0, 0, 0, 96, 103, 34895, 19786, 37094
50, 2, 1864, 5, 0, 22, 0, 0, 0, 9, 8, 47675, 12489, 27322
50, 2, 2117, 42, 0, 224, 0, 0, 0, 91, 91, 31822, 21195, 39074
50, 2, 1597, 45, 0, 236, 0, 0, 0, 87, 104, 30084, 18839, 31242
50, 2, 1684, 26, 0, 118, 0, 0, 0, 38, 54, 34540, 15897, 26908
50, 2, 1937, 25, 0, 110, 0, 0, 0, 47, 38, 29070, 13389, 27334
50, 2, 2129, 5, 0, 15, 0, 0, 0, 4, 6, 42367, 8403, 31280
50, 2, 1403, 50, 0, 219, 0, 0, 0, 87, 82, 24882, 13440, 16917
50, 2, 1952, 1, 0, 3, 0, 0, 0, 1, 1, 32146, 8215, 21993
50, 2, 1741, 18, 0, 106, 0, 0, 0, 38, 50, 31125, 13147, 42789
50, 2, 2362, 5, 0, 31, 0, 0, 0, 14, 12, 40929, 14849, 33308
50, 2, 1480, 21, 0, 78, 0, 0, 0, 30, 27, 26193, 10186, 20205
50, 2, 1858, 7, 0, 38, 0, 0, 0, 12, 19, 26955, 8906, 25209
50, 2, 2479, 32, 0, 171, 0, 0, 0, 64, 75, 50747, 17616, 47185
50, 2, 1962, 42, 0, 177, 0, 0, 0, 71, 64, 45898, 19983, 26088
50, 2, 1420, 15, 0, 77, 0, 0, 0, 34, 28, 41739, 8191, 20609
50, 2, 1524, 50, 0, 259, 0, 0, 0, 111, 98, 25564, 18324, 27217
50, 2, 1519, 16, 0, 77, 0, 0, 0, 37, 24, 42906, 8740, 29795
50, 2, 2125, 43, 0, 235, 0, 0, 0, 106, 86, 43018, 18186, 34693
50, 2, 1991, 24, 0, 120, 0, 0, 0, 42, 54, 43802, 13616, 44439
50, 2, 1911, 35, 0, 181, 0, 0, 0, 77, 69, 45227, 17723, 22841
50, 2, 2361, 46, 0, 214, 0, 0, 0, 92, 76, 35082, 24077, 24350
50, 2, 1770, 3, 0, 18, 0, 0, 0, 7, 8, 38951, 8578, 27506
50, 2, 2416, 17, 0, 88, 0, 0, 0, 33, 38, 38152, 18507, 37520
50, 2, 1829, 2, 0, 23, 0, 0, 0, 6, 15, 48552, 8964, 34875
50, 2, 1922, 20, 0, 112, 0, 0, 0, 56, 36, 51836, 13494, 25847
50, 2, 1741, 49, 0, 208, 0, 0, 0, 82, 77, 41454, 17094, 27135
50, 2, 2089, 30, 0, 147, 0, 0, 0, 56, 61, 40072, 15142, 24795
50, 2, 1617, 48, 0, 267, 0, 0, 0, 109, 110, 48668, 17186, 25326
50, 2, 1798, 49, 0, 294, 0, 0, 0, 104, 141, 38270, 19989, 23574
50, 2, 1611, 7, 0, 45, 0, 0, 0, 18, 20, 47797, 7858, 19390
50, 2, 1708, 13, 0, 98, 0, 0, 0, 41, 44, 55942, 11260, 25609
